ID,"Lab Case Number","Submitting Agency","Incident/Case Number","Case Type","Assignment Type",Status,Analyst,"Creation Date",Age,Items
59,PCSP-2026-00040,DIP,2024-188,Furto,"Forense Digital","In Progress","usuário Lima Santos","27/04/2026 11:37:35",126,1
82,PCSP-2026-00062,"UIP - DEINTER 5",2024-356,"Tráfico de Drogas","Forense Digital","In Progress","usuário Trindade","05/05/2026 11:03:01",118,1
127,PCSP-2026-00109,"UIP - DEINTER 9",2024-001,Outros,"Forense Digital","In Progress","admin spinola","25/05/2026 15:08:16",98,2
140,PCSP-2026-00125,"UIP - DEINTER 7",2024-002,Outros,"Forense Digital","In Progress","admin spinola","08/06/2026 13:08:08",84,1
141,PCSP-2026-00126,"UIP - DEINTER 6",2024-003,Outros,"Forense Digital","In Progress","Admin Menezes","08/06/2026 14:17:29",84,1
142,PCSP-2026-00127,"UIP - DEINTER 10",2024-005,"Tráfico de Drogas","Forense Digital","In Progress","admin spinola","08/06/2026 17:28:01",84,1
143,PCSP-2026-00128,"UIP - DEMACRO",2024-004,"Tráfico de Drogas","Forense Digital","In Progress","admin spinola","08/06/2026 17:42:11",84,1
144,PCSP-2026-00129,"UIP - DEINTER 10",2024-006,Outros,"Forense Digital","In Progress","usuario Bacalá Ribeiro","09/06/2026 10:26:26",83,1
145,PCSP-2026-00130,"UIP - DEINTER 8",2024-007,Outros,"Forense Digital","In Progress","usuário Trindade","09/06/2026 10:50:12",83,1
146,PCSP-2026-00131,"UIP - DENARC",2024-008,Outros,"Forense Digital","In Progress","usuário Lima Santos","09/06/2026 10:55:51",83,1
147,PCSP-2026-00132,"UIP - DEINTER 9",2024-009,Outros,"Forense Digital","In Progress","Admin Menezes","09/06/2026 12:02:49",83,0
148,PCSP-2026-00133,"UIP - DEINTER 1",2024-010,Homicídio,"Forense Digital","In Progress","admin spinola","10/06/2026 17:17:01",82,1
149,PCSP-2026-00134,"UIP - DEINTER 4",2024-011,Outros,"Forense Digital","In Progress","admin spinola","10/06/2026 17:51:39",82,1
150,PCSP-2026-00135,"UIP - DEINTER 10",2024-012,Outros,"Blood Alcohol Analysis","In Progress","admin spinola","12/06/2026 09:18:26",80,1
151,PCSP-2026-00136,"UIP - DEINTER 9",2024-013,Homicídio,"Forense Digital","In Progress","admin spinola","12/06/2026 09:34:25",80,1
152,PCSP-2026-00137,"UIP - DEINTER 1",2024-014,Outros,"Forense Digital","In Progress","admin spinola","12/06/2026 10:04:02",80,1
