ID,"Lab Case Number","Submitting Agency","Incident/Case Number","Case Type","Assignment Priority","SLA Due Date","Assignment Type",Status,Analyst,"Analyst Date","Creation Date",Age,Items
30,PCSP-2026-00012,"UIP - DENARC",2026-060,"Tráfico de Drogas",-,-,"Forense Digital","In Progress","usuario Bacalá Ribeiro","13/03/2026 16:35:12","13/03/2026 16:35:12",56,1
36,PCSP-2026-00018,DIP,2025-428,"Crimes contra o Meio Ambiente",-,-,"Forense Digital","In Progress","admin spinola","24/04/2026 14:48:28","23/04/2026 09:55:15",15,1
37,PCSP-2026-00019,DIP,2025-281,"Crimes contra o Meio Ambiente",-,-,"Forense Digital","In Progress","admin spinola","24/04/2026 14:47:31","23/04/2026 10:21:22",15,1
38,PCSP-2026-00020,DIP,2025-454,"Crimes contra o Meio Ambiente",-,-,"Forense Digital","In Progress","admin spinola","24/04/2026 14:47:20","23/04/2026 11:34:03",15,1
39,PCSP-2026-00021,DIP,2025-213,"Tráfico de Drogas",-,-,"Forense Digital","In Progress","admin spinola","24/04/2026 14:46:58","23/04/2026 11:48:14",15,1
40,PCSP-2026-00022,DIP,2025-425,"Tráfico de Drogas",-,-,"Forense Digital","In Progress","admin spinola","24/04/2026 14:48:46","23/04/2026 12:06:52",15,1
41,PCSP-2026-00023,DIP,2025-247,"Tráfico de Drogas",-,-,"Forense Digital","In Progress","admin spinola","24/04/2026 14:47:09","23/04/2026 12:24:44",15,1
42,PCSP-2026-00024,DIP,2025-406,"Crimes contra o Meio Ambiente",-,-,"Forense Digital","In Progress","admin spinola","24/04/2026 14:49:09","23/04/2026 12:39:53",15,1
43,PCSP-2026-00025,DIP,2025-489,"Lavagem de Dinheiro",-,-,"Forense Digital","In Progress","admin spinola","24/04/2026 14:46:18","23/04/2026 12:54:27",15,1
44,PCSP-2026-00026,DIP,2025-429,"Crimes contra o Meio Ambiente",-,-,"Forense Digital","In Progress","admin spinola","24/04/2026 14:47:50","23/04/2026 13:22:32",15,1
